Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples,
64,14740,11213,3524,0,62828273,2975284,5349471,4969569,57771664,
65,14746,11219,3524,0,62854975,2976719,5352050,4972163,57798366,
66,14752,11222,3527,0,62884355,2977905,5354183,4974494,57827746,
67,14756,11225,3528,0,62906073,2978894,5355962,4976203,57849464,
68,14764,11233,3528,0,62931757,2980196,5358302,4978497,57875148,
69,14764,11233,3528,0,62931757,2980196,5358302,4978497,57875148,
70,14764,11233,3528,0,62931757,2980196,5358302,4978497,57875148,
71,14764,11233,3528,0,62931757,2980196,5358302,4978497,57875148,
72,14764,11233,3528,0,62931757,2980196,5358302,4978497,57875148,
73,14764,11233,3528,0,62931757,2980196,5358302,4978497,57875148,
74,14765,11233,3529,0,62934394,2980333,5358548,4978716,57877785,
75,14768,11236,3529,0,62950855,2981211,5360127,4980362,57894246,
76,14770,11237,3530,0,62956096,2981486,5360621,4980838,57899487,
77,14771,11237,3531,0,62958785,2981632,5360883,4981160,57902176,
78,14773,11239,3531,0,62966684,2982038,5361613,4981905,57910075,
79,14774,11239,3532,0,62969079,2982132,5361782,4982077,57912470,
80,14774,11239,3532,0,62969079,2982132,5361782,4982077,57912470,
81,14774,11239,3532,0,62969079,2982132,5361782,4982077,57912470,
82,14774,11239,3532,0,62969079,2982132,5361782,4982077,57912470,
83,14774,11239,3532,0,62969079,2982132,5361782,4982077,57912470,
84,14774,11239,3532,0,62969079,2982132,5361782,4982077,57912470,
85,14774,11239,3532,0,62969079,2982132,5361782,4982077,57912470,
86,14774,11239,3532,0,62969079,2982132,5361782,4982077,57912470,
87,14774,11239,3532,0,62969079,2982132,5361782,4982077,57912470,
88,14774,11239,3532,0,62969079,2982132,5361782,4982077,57912470,
89,14774,11239,3532,0,62969079,2982132,5361782,4982077,57912470,
90,14774,11239,3532,0,62969079,2982132,5361782,4982077,57912470,
91,14774,11239,3532,0,62969079,2982132,5361782,4982077,57912470,
92,14774,11239,3532,0,62969079,2982132,5361782,4982077,57912470,
93,14775,11240,3532,0,62974558,2982413,5362287,4982581,57917949,
94,14779,11243,3533,0,62987847,2983100,5363522,4983869,57931238,
95,14784,11248,3533,0,63009515,2984228,5365551,4985738,57952906,
96,14789,11253,3533,0,63030438,2985340,5367551,4987704,57973829,
97,14792,11256,3533,0,63050882,2986469,5369582,4989834,57994273,
98,14798,11261,3534,0,63068269,2987338,5371145,4991404,58011660,
99,14801,11262,3536,0,63084427,2988125,5372560,4992917,58027818,
100,14808,11268,3537,0,63118276,2989914,5375776,4996123,58061667,
101,14814,11274,3537,0,63145327,2991372,5378398,4998680,58088718,
102,14814,11274,3537,0,63145327,2991372,5378398,4998680,58088718,
103,14814,11274,3537,0,63145327,2991372,5378398,4998680,58088718,
104,14814,11274,3537,0,63145327,2991372,5378398,4998680,58088718,
105,14814,11274,3537,0,63145327,2991372,5378398,4998680,58088718,
106,14814,11274,3537,0,63145327,2991372,5378398,4998680,58088718,
107,14814,11274,3537,0,63145327,2991372,5378398,4998680,58088718,
108,14814,11274,3537,0,63145327,2991372,5378398,4998680,58088718,
109,14814,11274,3537,0,63145327,2991372,5378398,4998680,58088718,
110,14814,11274,3537,0,63145327,2991372,5378398,4998680,58088718,
111,14814,11274,3537,0,63145327,2991372,5378398,4998680,58088718,
112,14814,11274,3537,0,63145327,2991372,5378398,4998680,58088718,
113,14814,11274,3537,0,63145327,2991372,5378398,4998680,58088718,
114,14814,11274,3537,0,63145327,2991372,5378398,4998680,58088718,
115,14814,11274,3540,0,63145327,2991372,5378398,5217861,63145327,
